Image,z=0,z=1,z=2,z=3,z=4,z=5,z=6,z=7,z=8
5438.pgm,6,1303,4319,3221,1355,1031,1012,3846,291
5439.pgm,1,175,408,1829,2247,2510,5885,3290,39
544.pgm,0,91,427,1006,1315,2740,7416,3389,0
5440.pgm,0,176,785,1075,3362,5943,3477,1374,192
5441.pgm,0,260,1925,2974,4109,4185,2586,345,0
5442.pgm,0,0,113,119,1449,4463,6697,2221,1322
5443.pgm,0,47,463,1143,2173,3330,3169,6044,15
5444.pgm,0,31,516,703,1268,2425,3994,7416,31
5445.pgm,99,490,1187,2194,2585,2127,3300,4391,11
5446.pgm,40,497,873,1403,1846,2647,4069,4941,68
5447.pgm,2,382,632,624,1349,1857,3421,7901,216
5448.pgm,67,601,656,1153,1900,1867,3561,6475,104
5449.pgm,5,177,681,2132,3295,4159,4038,1620,277
545.pgm,0,31,523,1520,3093,4904,4138,1039,1136
5450.pgm,0,15,316,551,946,2705,4051,7775,25
5451.pgm,0,0,225,4750,6570,1646,2570,623,0
5452.pgm,16,277,548,1743,2566,1912,2710,6182,430
5453.pgm,0,70,274,494,1438,2685,4031,7370,22
5454.pgm,0,51,234,421,1212,2720,5180,6558,8
5455.pgm,0,123,334,767,2016,2626,3189,7318,11
5456.pgm,0,6,301,633,1088,2518,3972,7812,54
5457.pgm,0,3,226,568,983,2930,2967,8602,105
5458.pgm,11,313,751,1957,4451,5491,1465,912,1033
5459.pgm,0,0,157,868,3151,3094,2266,6793,55
546.pgm,0,97,418,1237,3423,2902,3139,5161,7
5460.pgm,0,67,1352,3943,2070,889,1128,6899,36
5461.pgm,0,150,1182,3318,3061,1897,1897,4859,20
5462.pgm,0,29,524,726,1253,2511,8323,3017,1
5463.pgm,0,109,631,797,1490,2390,4117,6838,12
5464.pgm,0,61,1424,2227,3303,1719,811,6285,554
5465.pgm,0,6,531,2697,4782,5668,2504,190,6
5466.pgm,0,0,31,84,168,579,3972,11499,51
5467.pgm,0,0,0,50,304,2592,7594,5828,16
5468.pgm,0,0,90,1865,5219,6017,2899,135,159
5469.pgm,0,106,432,1100,2342,4090,7741,573,0
547.pgm,54,1538,3280,2882,3325,3900,1356,49,0
5470.pgm,0,140,1127,4703,6194,2043,1946,192,39
5471.pgm,1,238,1126,2503,4753,3049,1904,2808,2
5472.pgm,1,249,3656,3919,2251,2862,1122,2306,18
5473.pgm,0,41,1148,1913,1789,1673,2471,7057,292
5474.pgm,1,125,628,1623,2163,3890,5087,2819,48
5475.pgm,0,33,789,1055,2182,1667,1113,8837,708
5476.pgm,0,0,63,731,1655,3062,7682,3187,4
5477.pgm,0,0,205,1500,7055,7175,449,0,0
5478.pgm,0,253,958,1373,5150,7770,877,3,0
5479.pgm,1,356,526,2098,8543,4426,432,2,0
548.pgm,0,119,725,1986,3727,4277,3944,1605,1
5480.pgm,2,26,136,472,1221,2417,6016,6009,85
5481.pgm,0,21,223,656,1315,3036,3162,7332,639
5482.pgm,0,0,84,278,670,1004,2501,10363,1484
5483.pgm,4,80,366,796,1804,2345,6231,4753,5
5484.pgm,0,49,527,1259,1806,2579,5419,4728,17
5485.pgm,0,19,151,519,1573,3672,5903,4409,138
5486.pgm,0,0,47,105,160,594,3064,11893,521
5487.pgm,0,14,160,354,567,881,2448,11528,432
5488.pgm,0,18,99,358,699,1314,4761,9083,52
5489.pgm,0,24,128,430,994,1875,4348,8509,76
549.pgm,0,5,45,39,37,573,11616,4061,8
5490.pgm,0,0,26,390,1022,2073,4122,7874,877
5491.pgm,0,3,163,649,898,822,8249,5600,0
5492.pgm,0,0,3,85,455,1649,10085,4107,0
5493.pgm,12,181,233,505,1633,2593,3501,2942,4784
5494.pgm,36,245,475,469,590,1006,2469,9701,1393
5495.pgm,7,280,215,138,222,439,2078,12122,883
5496.pgm,0,228,530,1948,2999,2281,1565,6323,510
5497.pgm,0,4,1440,4935,4875,3801,1286,43,0
5498.pgm,0,390,4471,6470,2351,1505,1092,105,0
5499.pgm,0,39,654,2992,7190,4595,697,216,1
55.pgm,16,614,1735,2121,1744,1651,2281,5754,468
550.pgm,26,746,1985,2506,2544,2014,2462,4065,36
5500.pgm,0,214,854,1134,2410,3639,4921,1947,1265
5501.pgm,455,2296,2030,2455,2572,1890,1855,2446,385
5502.pgm,0,1,555,4562,5996,3358,1071,832,9
5503.pgm,0,62,602,937,1055,1410,4053,8250,15
5504.pgm,0,3,168,545,1018,1822,8160,4654,14
5505.pgm,155,784,1151,1455,2054,2974,3968,3563,280
5506.pgm,5,342,1533,1953,3060,4466,3675,1325,25
5507.pgm,0,1,29,162,428,986,2975,11712,91
5508.pgm,2,100,672,1497,2316,3332,5895,2562,8
5509.pgm,0,13,257,1159,1385,875,889,11518,288
551.pgm,10,1837,2195,2203,2472,1939,2672,3049,7
5510.pgm,0,7,357,2360,3429,4380,4497,1354,0
5511.pgm,0,0,186,475,656,2227,8390,4450,0
5512.pgm,0,196,749,565,699,744,1528,11758,145
5513.pgm,0,0,0,68,707,2602,10856,2151,0
5514.pgm,0,76,585,1071,945,285,4177,9242,3
5515.pgm,0,0,140,1283,3275,3967,6864,855,0
5516.pgm,0,26,500,1564,2413,5314,6499,68,0
5517.pgm,0,0,26,163,384,6918,8368,467,58
5518.pgm,0,25,366,1206,1685,1144,10177,1781,0
5519.pgm,12,708,1484,2251,2267,2298,3045,3866,453
552.pgm,2,157,977,2755,3974,3950,2530,2031,8
5520.pgm,0,121,1127,2168,2369,1652,1463,6876,608
5521.pgm,0,47,245,542,839,980,3231,10178,322
5522.pgm,0,193,652,1272,1975,3687,5818,2730,57
5523.pgm,2,139,1288,2068,2565,2685,2381,4808,448
5524.pgm,0,96,1018,1709,1049,600,2233,9654,25
5525.pgm,18,478,998,1297,1165,1584,10066,771,7
5526.pgm,0,1,178,834,1378,2240,4358,3365,4030
5527.pgm,0,3,556,2524,4251,3985,2306,2629,130
5528.pgm,0,3,67,311,558,1248,8361,5464,372
5529.pgm,0,0,0,50,139,328,3017,12402,448
553.pgm,0,18,200,611,1332,2821,7115,4253,34
5530.pgm,17,1150,1865,2566,3158,4497,2607,524,0
5531.pgm,58,1401,3621,4719,3924,1814,757,88,2
5532.pgm,0,102,472,1092,1513,2072,7277,3856,0
5533.pgm,0,143,237,579,3341,5535,3285,3101,163
5534.pgm,0,0,380,965,890,1009,1466,11047,627
5535.pgm,8,693,3079,2601,443,972,8248,340,0
5536.pgm,0,21,297,756,1425,1901,3991,7899,94
5537.pgm,0,3,41,257,796,1912,5078,8058,239
5538.pgm,1,62,445,1727,3872,5186,3999,1084,8
5539.pgm,0,38,279,601,1063,1674,3901,8578,250
554.pgm,0,3,91,1142,4313,2109,3435,5284,7
5540.pgm,34,141,153,194,222,434,841,12238,2127
5541.pgm,34,114,120,142,166,305,581,11298,3624
5542.pgm,29,116,132,156,152,303,525,7869,7102
5543.pgm,25,111,185,392,513,725,1029,5864,7540
5544.pgm,117,1888,2888,3360,4664,2980,480,7,0
5545.pgm,0,148,1081,1216,1199,2524,6950,3172,94
5546.pgm,0,36,799,2239,3324,3388,3606,2902,90
5547.pgm,4,437,3237,5440,4022,1729,1007,500,8
5548.pgm,0,3,169,1289,4524,5808,3509,1071,11
5549.pgm,0,77,1868,2583,4106,1492,1667,4120,471
555.pgm,15,176,732,3156,4311,3427,2231,2299,37
5550.pgm,0,1,271,1259,1770,2949,6507,3621,6
5551.pgm,0,215,2397,3331,3174,991,1651,4264,361
5552.pgm,0,1,176,2046,4037,4299,3197,2417,211
5553.pgm,0,435,4081,6928,2550,964,1157,265,4
5554.pgm,0,0,123,1163,2980,4065,4069,3812,172
5555.pgm,0,50,1195,3455,3464,4164,2593,1442,21
5556.pgm,0,0,26,251,670,2215,4860,7957,405
5557.pgm,0,1,69,500,1454,3674,3996,6569,121
5558.pgm,0,2,546,2284,1548,1692,4726,5458,128
5559.pgm,1,133,1995,3938,4050,2990,1577,1656,44
556.pgm,4,130,479,1065,1933,5391,7236,146,0
5560.pgm,0,12,533,1510,2255,3895,4130,4019,30
5561.pgm,0,1,203,5430,5914,3397,933,451,55
5562.pgm,0,608,3197,4099,4128,3038,1152,161,1
5563.pgm,0,14,110,334,1158,2627,5511,6616,14
5564.pgm,0,182,2304,6883,4344,2192,459,20,0
5565.pgm,0,35,735,3787,5096,4417,1997,316,1
5566.pgm,0,0,62,1232,2420,1342,2939,8333,56
5567.pgm,0,0,296,2026,1891,1555,3043,7509,64
5568.pgm,0,5,462,1506,2287,2972,4318,4812,22
5569.pgm,0,2,227,596,1290,1590,3907,8629,143
557.pgm,0,280,1501,2358,3322,3532,3348,1660,383
5570.pgm,0,0,99,775,1716,3564,3701,6408,121
5571.pgm,0,1,389,2209,3253,2065,3433,5016,18
5572.pgm,0,46,241,1085,1239,277,658,12407,431
5573.pgm,0,19,299,1483,5349,3207,2079,3917,31
5574.pgm,0,115,1351,2694,3977,2612,2294,3333,8
5575.pgm,1,593,4003,5516,5179,1054,35,3,0
5576.pgm,0,234,3217,6851,4691,1301,90,0,0
5577.pgm,0,113,1256,3363,2750,2223,3180,3449,50
5578.pgm,13,2621,5178,3366,2457,567,455,1716,11
5579.pgm,43,2539,6403,3639,2125,803,244,584,4
558.pgm,0,65,880,2558,3538,2725,3705,2912,1
5580.pgm,0,6,125,534,1650,3571,3696,6627,175
5581.pgm,0,8,158,650,1972,3718,3425,6373,80
5582.pgm,0,0,19,159,459,1514,4544,8698,991
5583.pgm,0,78,736,2734,3089,2093,1453,5731,470
5584.pgm,0,76,885,1445,4790,4151,2406,2621,10
5585.pgm,0,0,42,1595,4797,2624,3400,3830,96
5586.pgm,0,0,58,742,3799,4042,4280,3380,83
5587.pgm,0,0,0,20,349,846,3243,11772,154
5588.pgm,0,0,0,1,36,458,2579,12958,352
5589.pgm,0,0,127,1747,4110,4607,4159,1631,3
559.pgm,3,246,996,3529,5919,3401,1240,1040,10
5590.pgm,0,14,588,2512,3483,4060,4325,1399,3
5591.pgm,0,0,39,257,685,1073,3050,11055,225
5592.pgm,0,0,18,76,1018,2788,5152,7323,9
5593.pgm,0,0,0,49,764,5069,6647,3854,1
5594.pgm,0,0,57,1167,2297,2269,1110,8822,662
5595.pgm,0,0,4,510,2265,2585,1450,8725,845
5596.pgm,0,0,0,6,156,1324,4950,9851,97
5597.pgm,0,0,0,85,427,806,3475,11394,197
5598.pgm,0,0,0,5,162,607,1245,13896,469
5599.pgm,0,0,3,87,390,493,2199,13072,140
56.pgm,0,0,17,169,1569,2727,8859,3036,7
560.pgm,38,999,667,340,1243,5308,7388,401,0
5600.pgm,0,0,2,104,1182,2689,2543,9624,240
5601.pgm,0,0,2,126,592,1990,7002,6655,17
5602.pgm,0,0,0,14,143,989,6861,8363,14
5603.pgm,0,7,584,918,1188,1616,2938,8906,227
5604.pgm,0,3,400,733,1024,1625,3052,9402,145
5605.pgm,0,0,67,576,1045,1118,1132,11486,960
5606.pgm,0,1,119,584,1001,1101,1142,11487,949
5607.pgm,0,0,36,307,1009,1357,1211,11977,487
5608.pgm,0,0,11,391,1309,1535,1843,10817,478
5609.pgm,0,4,352,1754,2447,1792,1132,8498,405
561.pgm,65,1464,4074,4418,2940,1299,359,780,985
5610.pgm,0,0,0,0,13,599,4252,11165,355
5611.pgm,0,0,0,10,271,1376,3962,9965,800
5612.pgm,0,0,0,0,20,381,3497,11746,740
5613.pgm,0,0,44,670,1364,842,644,11847,973
5614.pgm,0,0,0,9,177,918,2880,11732,668
5615.pgm,0,0,27,399,1245,2822,3348,7945,598
5616.pgm,0,0,7,260,1910,3441,2381,7463,922
5617.pgm,0,0,8,157,1553,3181,2313,8135,1037
5618.pgm,0,0,11,325,2002,2541,1715,8841,949
5619.pgm,0,0,13,485,1991,2042,1557,9246,1050
562.pgm,8,404,1472,1837,2627,6384,3499,141,12
5620.pgm,0,0,16,424,2088,2447,1517,8836,1056
5621.pgm,0,0,27,699,1819,1282,1262,9985,1310
5622.pgm,0,0,49,695,1710,1252,1340,10069,1269
5623.pgm,0,0,6,171,985,1809,1806,10350,1257
5624.pgm,0,0,0,25,275,1483,4914,9132,555
5625.pgm,0,0,0,3,71,826,4600,10259,625
5626.pgm,0,0,7,206,1077,1689,2118,10049,1238
5627.pgm,0,0,6,137,655,1713,4379,8799,695
5628.pgm,0,0,4,68,399,956,2246,11232,1479
5629.pgm,0,0,1,136,535,1904,8528,5258,22
563.pgm,0,24,282,2122,4158,5641,3639,516,2
5630.pgm,0,0,14,196,1145,2903,4255,7843,28
5631.pgm,0,0,2,32,219,756,2624,12617,134
5632.pgm,0,28,346,1504,2577,2227,5847,3853,2
5633.pgm,0,114,1523,3244,2277,1917,5174,2135,0
5634.pgm,0,39,984,2770,2234,1620,6739,1996,2
5635.pgm,0,5,115,209,592,3370,9679,2414,0
5636.pgm,0,1,624,4300,4652,4917,1729,161,0
5637.pgm,0,4,858,4787,3722,4402,2377,232,2
5638.pgm,0,0,0,67,972,3680,6723,4908,34
5639.pgm,0,93,958,776,1398,1230,2954,8729,246
564.pgm,0,26,239,302,827,3512,8991,2484,3
5640.pgm,0,219,1472,1585,1247,822,1322,9411,306
5641.pgm,0,0,21,3489,3909,2098,3657,3182,28
5642.pgm,0,0,67,1441,2226,2463,4502,5666,19
5643.pgm,0,0,20,1990,4345,3851,4799,1372,7
5644.pgm,0,0,0,2,54,382,4473,11455,18
5645.pgm,0,0,0,0,132,557,4857,10729,109
5646.pgm,0,0,62,345,703,1217,4782,9180,95
5647.pgm,0,3,176,406,668,1273,3693,10057,108
5648.pgm,0,0,3,9,118,442,3635,12115,62
5649.pgm,1,4,11,18,118,410,3506,12265,51
565.pgm,0,19,458,3720,5806,654,593,5108,26
5650.pgm,0,7,6,17,70,352,4042,11818,72
5651.pgm,0,33,420,1526,2440,2578,2631,6533,223
5652.pgm,0,6,41,119,387,1668,7799,6362,2
5653.pgm,0,3,76,615,1784,2370,5997,5465,74
5654.pgm,10,81,102,72,438,1826,6075,7732,48
5655.pgm,5,163,332,341,822,2268,4143,8095,215
5656.pgm,2,23,38,128,470,1239,5552,8887,45
5657.pgm,34,210,230,276,562,1998,4941,7898,235
5658.pgm,0,0,3,81,406,617,4041,11201,35
5659.pgm,0,0,7,184,490,782,5349,9532,40
566.pgm,20,189,588,1081,2140,6815,5240,285,26
5660.pgm,0,0,0,85,373,1213,6752,7950,11
5661.pgm,0,0,23,337,1135,3129,5611,6095,54
5662.pgm,0,64,294,1110,1960,1134,3119,8579,124
5663.pgm,0,1,90,402,457,926,5202,9300,6
5664.pgm,0,29,229,775,934,906,3543,9807,161
5665.pgm,0,90,384,932,2064,1051,3544,8261,58
5666.pgm,0,9,236,1447,2596,2259,4451,5303,83
5667.pgm,0,0,17,93,268,482,4103,11360,61
5668.pgm,0,0,19,138,301,470,4345,11058,53
5669.pgm,0,0,16,353,1537,1810,2537,9947,184
567.pgm,0,75,764,4327,7429,1572,1729,145,343
5670.pgm,0,2,15,355,749,930,3388,10907,38
5671.pgm,0,0,9,188,883,1613,3314,10319,58
5672.pgm,0,44,385,1825,4077,5341,4117,594,1
5673.pgm,0,0,0,9,220,914,3529,11678,34
5674.pgm,0,0,1,118,265,378,3362,12147,113
5675.pgm,0,22,69,251,317,279,2530,12604,312
5676.pgm,0,4,34,155,404,799,4676,10039,273
5677.pgm,1,14,45,127,280,763,3920,10936,298
5678.pgm,0,0,19,115,321,571,3417,11867,74
5679.pgm,0,0,2,59,233,507,3316,12183,84
568.pgm,1,187,2666,3819,1780,1383,2745,3797,6
5680.pgm,0,44,207,128,68,84,3697,12003,153
5681.pgm,0,5,17,165,519,1167,4224,10222,65
5682.pgm,0,0,2,103,305,733,5099,10099,43
5683.pgm,0,0,7,146,226,471,3628,11694,212
5684.pgm,0,0,3,184,314,392,3474,11782,235
5685.pgm,0,0,3,115,521,1846,5672,7692,535
5686.pgm,0,0,2,28,250,1272,7229,7598,5
5687.pgm,0,0,2,20,142,884,5685,9635,16
5688.pgm,0,0,0,8,148,504,4753,10949,22
5689.pgm,0,7,31,45,216,678,4327,10746,334
569.pgm,5,403,1736,2160,2244,3253,4259,2321,3
5690.pgm,0,13,154,412,1023,1993,4134,8568,87
5691.pgm,0,0,97,367,814,1397,2063,11173,473
5692.pgm,0,0,23,302,1164,2746,5711,6434,4
5693.pgm,0,12,338,866,1548,1422,5041,7149,8
5694.pgm,1,20,230,842,1962,2760,7359,3209,1
5695.pgm,0,15,114,427,1360,2488,7945,4035,0
5696.pgm,0,0,75,537,1514,3041,5799,5411,7
5697.pgm,0,0,36,351,1219,2245,5073,7427,33
5698.pgm,0,3,88,621,1681,2506,6277,5206,2
5699.pgm,0,8,280,780,1443,2552,4168,7139,14
57.pgm,0,135,1803,6026,6112,1892,402,14,0
570.pgm,4,496,3904,5566,2511,2162,1572,169,0
5700.pgm,0,8,358,1092,2049,2243,4780,5846,8
5701.pgm,0,0,4,85,654,2435,6707,6493,6
5702.pgm,0,0,20,252,1010,1726,5242,8117,17
5703.pgm,0,3,145,711,1684,2043,4568,7220,10
5704.pgm,0,2,220,946,1989,2172,5046,6004,5
5705.pgm,0,3,162,651,1477,2424,6221,5441,5
5706.pgm,1,417,1528,1875,1449,1253,2405,7134,322
5707.pgm,3,266,1340,1974,1768,1167,2276,6942,648
5708.pgm,0,92,2039,1826,678,1101,3272,7135,241
5709.pgm,1,313,3397,3512,2296,1084,1889,3843,49
571.pgm,0,2,605,1497,1186,4388,7069,1637,0
5710.pgm,4,208,1604,2225,1792,1932,2735,5771,113
5711.pgm,0,487,2866,6818,3173,1101,1293,624,22
5712.pgm,18,404,800,1165,1151,1737,2477,8102,530
5713.pgm,4,231,229,352,793,2860,5576,6308,31
5714.pgm,2,138,953,1817,1571,1603,3825,6364,111
5715.pgm,3,74,423,1608,1542,1594,2240,8601,299
5716.pgm,21,534,1519,1179,1292,1375,1009,3495,5960
5717.pgm,83,798,847,604,367,312,684,7951,4738
5718.pgm,55,645,842,623,406,271,514,5992,7036
5719.pgm,0,0,0,0,41,1039,4639,10465,200
572.pgm,0,18,250,1196,6371,6676,1699,155,19
5720.pgm,0,0,0,5,261,1765,4097,10139,117
5721.pgm,0,0,0,41,430,1427,4893,9385,208
5722.pgm,5,209,1031,1648,1872,1618,1395,3802,4804
5723.pgm,0,219,959,966,1447,1018,695,2213,8867
5724.pgm,8,119,471,816,979,1053,999,8919,3020
5725.pgm,0,0,0,70,216,851,7190,8012,45
5726.pgm,208,381,155,79,62,68,170,7601,7660
5727.pgm,87,470,219,99,49,112,313,10139,4896
5728.pgm,0,20,109,262,632,626,1517,12649,569
5729.pgm,2,240,1059,1833,2367,2673,2567,2826,2817
573.pgm,6,299,1661,1886,1496,1292,3211,6499,34
5730.pgm,21,183,396,1154,1835,1663,5199,5620,313
5731.pgm,2,54,91,131,427,877,5025,9653,124
5732.pgm,1,99,1092,2606,3308,2943,3272,2827,236
5733.pgm,0,1,509,2499,3367,3336,2621,3525,526
5734.pgm,2,54,722,2985,4031,2076,2226,3479,809
5735.pgm,0,0,46,360,838,2999,6081,5908,152
5736.pgm,0,1,44,236,972,2932,6586,5533,80
5737.pgm,0,3,99,497,1860,4137,5022,4711,55
5738.pgm,0,14,174,958,3485,4384,4104,3255,10
5739.pgm,0,29,273,1132,3768,4369,3898,2903,12
574.pgm,0,26,648,3505,6299,3270,1939,696,1
5740.pgm,0,41,456,2019,4509,4031,3080,2239,9
5741.pgm,0,78,560,2237,4653,4207,2284,2345,20
5742.pgm,0,69,665,2186,4562,4138,2178,2553,33
5743.pgm,0,102,752,1972,4154,3929,2389,3044,42
5744.pgm,0,54,528,1533,3168,4398,3299,3362,42
5745.pgm,0,33,396,1723,3316,4144,4224,2544,4
5746.pgm,0,23,244,1106,2737,4084,5066,3115,9
5747.pgm,0,2,89,499,2243,3681,4374,5287,209
5748.pgm,0,84,777,2104,3833,4331,3252,1990,13
5749.pgm,0,118,1017,2808,3979,3458,3761,1193,50
575.pgm,0,192,2154,3407,2761,1119,2770,3979,2
5750.pgm,0,80,688,2033,4138,3986,3133,2293,33
5751.pgm,18,86,140,223,1312,3945,4432,5764,464
5752.pgm,0,10,128,511,2102,5360,5071,3023,179
5753.pgm,0,10,159,571,1828,5415,5515,2786,100
5754.pgm,0,9,164,653,1680,4839,5713,3185,141
5755.pgm,0,10,261,777,1877,4504,5237,3539,179
5756.pgm,0,3,199,709,1593,4126,5561,3998,195
5757.pgm,0,0,186,730,1504,4078,5195,4404,287
5758.pgm,0,4,164,650,1502,3889,5023,4816,336
5759.pgm,0,4,135,678,1422,3640,4490,5648,367
576.pgm,0,90,470,647,875,2705,7914,3676,7
5760.pgm,0,1,100,574,1437,3643,4462,5817,350
5761.pgm,0,4,76,534,1377,3928,4185,5943,337
5762.pgm,0,1,59,463,1622,4050,4000,5899,290
5763.pgm,0,0,48,318,1562,3985,4178,6005,288
5764.pgm,0,0,43,222,1166,3674,4608,6386,285
5765.pgm,1,48,564,1876,2929,3195,4130,3617,24
5766.pgm,0,103,1125,2621,4246,4736,2342,1206,5
5767.pgm,0,9,126,1655,3810,3265,2068,5341,110
5768.pgm,1,120,1142,3365,4811,4096,2404,444,1
5769.pgm,0,0,0,21,131,618,4445,11113,56
577.pgm,110,1687,914,834,1501,1270,3444,6525,99
5770.pgm,0,0,1,50,510,2639,5500,7628,56
5771.pgm,0,0,0,1,51,321,3592,12348,71
5772.pgm,0,0,6,88,178,595,4257,11188,72
5773.pgm,0,0,0,35,260,1383,4099,10563,44
5774.pgm,0,0,6,74,261,1587,4060,9384,1012
5775.pgm,0,0,1,48,211,1794,4221,9242,867
5776.pgm,0,0,0,51,489,2492,4622,8176,554
5777.pgm,0,0,9,107,80,185,4745,11025,233
5778.pgm,0,0,0,2,80,735,1574,12830,1163
5779.pgm,0,0,0,6,21,146,797,14096,1318
578.pgm,18,183,249,1447,3184,4107,4065,3042,89
5780.pgm,0,0,5,49,129,515,3646,11871,169
5781.pgm,0,0,0,4,360,1093,1906,12164,857
5782.pgm,0,0,0,3,75,280,1700,13160,1166
5783.pgm,0,0,0,8,12,112,1314,13412,1526
5784.pgm,0,0,0,2,95,223,1997,13356,711
5785.pgm,0,0,29,249,492,1266,4416,9875,57
5786.pgm,0,49,218,307,249,380,1619,13183,379
5787.pgm,0,38,175,339,394,542,1727,12861,308
5788.pgm,1,46,241,515,555,659,2040,11203,1124
5789.pgm,0,52,102,112,277,739,3809,8690,2603
579.pgm,7,455,2343,2519,2272,2848,3803,2136,1
5790.pgm,0,0,44,157,647,1787,5265,8375,109
5791.pgm,0,1,34,553,1851,3841,5743,4303,58
5792.pgm,0,38,310,788,1332,1929,3197,8299,491
5793.pgm,0,4,98,381,1104,3381,4059,7102,255
5794.pgm,0,20,255,1494,3976,3155,1996,5422,66
5795.pgm,0,191,958,2654,4490,2545,2574,2950,22
5796.pgm,0,12,208,649,1608,3317,2484,7428,678
5797.pgm,2,99,783,2747,3673,1852,1686,5484,58
5798.pgm,0,5,181,2302,5874,3120,2140,2731,31
5799.pgm,0,3,132,1132,4871,3802,1708,4506,230
58.pgm,1,68,485,1827,3283,5032,5027,659,2
580.pgm,0,28,222,2065,4045,4340,4553,1087,44
5800.pgm,0,4,82,695,3848,4741,2263,4387,364
5801.pgm,0,6,89,956,4172,3895,1703,5275,288
5802.pgm,0,6,52,599,3673,4495,1833,5466,260
5803.pgm,0,1,41,296,2456,5472,2459,5412,247
5804.pgm,0,1,41,243,1805,5743,3119,5261,171
5805.pgm,0,2,33,206,1175,5236,4078,5507,147
5806.pgm,0,2,119,611,1455,3948,2298,6205,1746
5807.pgm,0,3,115,425,1510,3646,1993,6439,2253
5808.pgm,0,254,909,3316,3443,1444,798,5635,585
5809.pgm,0,42,790,2111,4836,2740,2860,2950,55
581.pgm,0,94,562,837,1664,3090,6878,3244,15
5810.pgm,0,58,914,1850,4480,2319,3319,3425,19
5811.pgm,0,36,768,2020,3815,1381,2018,6096,250
5812.pgm,0,46,670,3817,1891,3247,3050,3642,21
5813.pgm,0,123,1217,3304,4677,5103,1686,273,1
5814.pgm,0,1,344,707,1534,6419,3785,3589,5
5815.pgm,0,47,424,1257,2871,4088,4816,2862,19
5816.pgm,6,246,788,967,908,4271,7610,1575,13
5817.pgm,22,389,1549,2810,3830,3248,1836,2673,27
5818.pgm,0,170,1773,2781,2884,2209,1916,4584,67
5819.pgm,0,103,1295,2737,2649,1912,1905,5669,114
582.pgm,0,36,675,2315,6345,6209,770,34,0
5820.pgm,0,43,380,982,921,1583,2939,9231,305
5821.pgm,1,161,1642,3086,3396,3080,3430,1578,10
5822.pgm,0,51,294,762,1508,2718,5416,5514,121
5823.pgm,11,126,504,3908,4761,5791,1179,101,3
5824.pgm,0,6,224,593,1163,2891,5965,5472,70
5825.pgm,1,72,561,914,1585,3363,5349,4482,57
5826.pgm,3,403,1564,1534,1176,997,1081,9265,361
5827.pgm,6,317,1007,1320,1686,2222,2691,6781,354
5828.pgm,4,387,1752,1702,1321,1298,1503,7721,696
5829.pgm,0,113,453,884,1032,813,1703,11308,78
583.pgm,0,39,740,2600,3503,4541,4661,300,0
5830.pgm,0,131,922,1589,1363,927,1027,10130,295
5831.pgm,5,206,1316,2236,2488,3389,3921,2730,93
5832.pgm,5,285,1197,4409,5898,2331,1422,833,4
5833.pgm,2,94,711,2377,3082,2400,3416,4214,88
5834.pgm,4,277,1957,5360,3956,1893,1689,543,705
5835.pgm,1,236,1760,5250,3694,1545,1191,499,2208
5836.pgm,12,241,998,3855,3894,2748,2411,1005,1220
5837.pgm,30,742,2314,1890,1866,2485,4209,2734,114
5838.pgm,35,1035,2913,2623,2191,2146,1910,3458,73
5839.pgm,1,276,764,1233,2134,2829,3396,5523,228
584.pgm,1,39,296,625,1595,3320,9413,1095,0
5840.pgm,5,345,1405,1776,2966,5123,3411,575,778
5841.pgm,92,2984,4602,3049,2506,1400,1172,571,8
5842.pgm,37,455,1099,1383,1959,4097,4630,2678,46
5843.pgm,6,252,633,1069,2180,3023,3843,5328,50
5844.pgm,2,232,1280,1988,1912,2182,2497,5993,298
5845.pgm,0,63,530,1635,1886,1909,2440,6607,1314
5846.pgm,12,340,1697,2202,2127,1999,2858,5039,110
5847.pgm,22,929,2700,2594,2026,2651,2924,2475,63
5848.pgm,12,213,903,1580,2515,3118,3513,4286,244
5849.pgm,11,38,140,389,1007,2855,8185,3660,99
585.pgm,10,109,999,2967,2705,2526,4484,2095,489
5850.pgm,10,66,149,801,3185,6389,3804,1288,692
5851.pgm,3,126,837,3641,5088,2132,718,787,3052
5852.pgm,0,65,1695,2547,2227,2632,3057,3922,239
5853.pgm,0,0,27,367,1642,3136,5058,5545,609
5854.pgm,0,43,707,2162,3062,3512,3725,3124,49
5855.pgm,3,350,2087,3050,2960,3470,3269,1000,195
5856.pgm,15,161,761,1958,5515,4257,2558,1155,4
5857.pgm,0,0,7,164,539,1595,7913,6091,75
5858.pgm,8,190,1168,959,1223,2597,5245,4615,379
5859.pgm,0,10,29,238,420,1287,4010,5100,5290
586.pgm,1,170,908,2939,3565,3272,2986,2543,0
5860.pgm,0,0,134,200,284,859,6662,8216,29
5861.pgm,0,100,1034,1949,2617,2855,3930,3286,613
5862.pgm,0,140,1925,3404,4203,3029,1498,1188,997
5863.pgm,0,3,95,231,431,2056,4589,8492,487
5864.pgm,0,0,0,0,23,316,3002,12861,182
5865.pgm,0,0,15,55,159,504,2619,12263,769
5866.pgm,0,0,8,11,136,1010,3980,11145,94
5867.pgm,0,0,9,189,787,3663,3843,7801,92
5868.pgm,0,0,12,345,2523,4999,2269,6168,68
5869.pgm,0,30,1608,7345,4704,1488,810,389,10
587.pgm,0,6,58,143,456,1556,7997,6142,26
5870.pgm,0,0,2,14,57,370,4575,11254,112
